,Date,Head,Text
0,4 Jun 2018,Malaysians contributed RM31.4mil to Tabung Harapan ,PETALING JAYA: Malaysians have contributed a total of RM31.4mil to Tabung Harapan Malaysia (THM) within the first five days of its launch.
1,4 Jun 2018,"Tenaga, Sime Plantation push KLCI into the red, MyEG at record low",KUALA LUMPUR: Malaysia's stock market extended its losses on Monday but came off the early as positive signals showed that the battering by foreign funds since the May 9 General Election may have subsided.
2,4 Jun 2018,KL mayor: At least RM1bil worth of City Hall projects axed,"KUALA LUMPUR: At least one billion ringgit worth of City Hall projects have been axed, says Mayor Tan Sri Mohd Amin Nordin Abd Aziz."
3,4 Jun 2018,Local market dips on investor worries,KUALA LUMPUR: The local benchmark index spent most of the morning session in the red on Monday despite most Asian markets rising on strong US jobs data.
4,4 Jun 2018,Ringgit rises as greenback wavers on political risk,"KUALA LUMPUR: The ringgit was slightly higher against the US dollar in the early session as investors' interest shifted away from the greenback due to uncertainty over potential political risks, dealers said."
5,4 Jun 2018,"CIMB Research cuts end-2018 KLCI target to 1,767","KUALA LUMPUR: CIMB Equities Research has cut its end-2018 FBM KLCI target to 1,767 based on 15.4 times price-to-earnings (P/E) due to a weak corporate earnings in the first quarter ended March 31, 2018."
6,4 Jun 2018,Filling the distribution gap,An enterprising move to meet a market need has turned a business into a passion for Lee
7,3 Jun 2018,Limkokwing Foundation plays vital role in increasing university access,THE Limkokwing Foundation for Creativity and Innovation offers RM30mil worth of scholarships annually.
8,2 Jun 2018,"Malaysian palm oil pricerises anticipating lower output growth, gains in soyoil","MUMBAI: Malaysian palm oil futures rose on Friday tracking rival soyoil and on expectations of a marginal rise in the country's palm oil output, although a fall in exports in May capped the gains."
9,2 Jun 2018,Happy day for shoppers,"COUPLE M.R. Naveen Raman, 30, and N. Aarthi, 29, waited until the day before their engagement ceremony to buy gold jewellery."
10,1 Jun 2018," MACC arrests two high-ranking police officers, RM1mil in cash seized",PETALING JAYA: Graft busters have arrested two high-ranking police officers from the anti-vice team and seized around RM1mil in cash from several locations.  
11,1 Jun 2018,Habib Jewels expects 30% sales growth within three months,"KUALA LUMPUR: Homegrown jeweller, Habib Jewels Sdn Bhd, expects a 30 per cent increase in sales within three months starting from today until Aug 31, 2018, before the re-implementation of the Sales and Services Tax (SST)."
12,1 Jun 2018,  Listless reporting season in Q1 of 2018,"KUALA LUMPUR: The corporate results for the first quarter ended March 31, 2018 were generally uninspiring, according to AmInvestment Research."
13,1 Jun 2018,Bursa continues recovery on bargain hunting,KUALA LUMPUR: The local bourse continued to retrace losses it had made earlier in the week as fears over Italy subsided and bargain hunters picked up cheap valuations.
14,1 Jun 2018,EPF reports 9.2% increase in investment income of RM12.88b,"KUALA LUMPUR: The Employees Provident Fund (EPF) reported a 9.2% increase in quarterly total investment income of RM12.88bil for the first quarter ended March 31, 2018, with equities accounting for nearly 62% but it remained cautious for the year due to increased global trade tensions, weaknesses in key emerging countries"
15,1 Jun 2018,Beware of fake Tabung Harapan account number,PETALING JAYA: Several fake posters of Tabung Harapan Malaysia (THM) fund bearing a fake account number are circulating on social media.
16,1 Jun 2018,Ringgit stabilises after bond relief rally,"KUALA LUMPUR: The ringgit opened flat versus the US dollar this morning after yesterday's rebound on improved global risk appetite, a dealer said."
17,1 Jun 2018,All citizens must do their bit,"From SHOBHA, Kuala Lumpur."
18,31 May 2018,Financial institutions well-placed to withstand macroeconomic shocks,"KUALA LUMPUR: Financial institutions are well-positioned to withstand macroeconomic and financial shocks, with excess capital buffers of RM138.2bil as at April 2018, Bank Negara Malaysia (BNM) said."
